tec,FR,BE,DE,CH,IT,ES,UK
nuclear,1.0,1.0,1.0,1.0,1.0,1.0,1.0
coal_1G,0.6,0.95,0.95,0.95,0.95,0.65,0.95
coal_SA,0.95,0.95,0.95,0.95,0.95,0.95,0.95
lignite,0.95,0.95,0.95,0.95,0.95,0.95,0.95
gas_ccgt1G,0.95,0.95,0.95,0.95,0.95,0.95,0.95
gas_ccgt2G,0.95,0.95,0.95,0.95,0.95,0.95,0.95
gas_ccgtSA,0.95,0.95,0.95,0.95,0.95,0.95,0.95
gas_ocgtSA,0.95,0.95,0.95,0.95,0.95,0.95,0.95
oil_light,0.95,0.95,0.95,0.95,0.95,0.95,0.95
