tec,FR,BE,DE,CH,IT,ES,UK
nuclear,1.0,1.0,1.0,1.0,1.0,1.0,1.0
coal_1G,0.06,0.05,0.7,0.93,0.93,0.15,0.93
coal_SA,0.06,0.05,0.7,0.93,0.93,0.15,0.93
lignite,0.93,0.93,0.7,0.93,0.93,0.93,0.93
gas_ccgt1G,0.93,0.93,0.93,0.93,0.93,0.93,0.93
gas_ccgt2G,0.93,0.93,0.93,0.93,0.93,0.93,0.93
gas_ccgtSA,0.93,0.93,0.93,0.93,0.93,0.93,0.93
gas_ocgtSA,0.96,0.96,0.96,0.96,0.96,0.96,0.96
oil_light,0.93,0.93,0.93,0.93,0.93,0.93,0.93
